Data Escala de Tempo 1 GE Simp 4;MAX MIN 1 GE Simp 4;MIN MAX 1 GE Simp 4;Codigo Aneel;Codigo Nucleo Aneel;Data Dica;Data do Incio da Semana Din Instante GE Simp 4;Data Escala de Tempo 1 GE Simp 4;dsc_estado;id_subsistema;nom_tipousinasite;nom_usina2;Período Exibido GE;Texto Incio Semana;Selecione Tipo de GE Simp 4
01/01/2021 00:00:00;06/01/2021 00:00:00;27/12/2020 00:00:00;*;*;2021;;01/01/2021 00:00:00;AMAZONAS;Norte;*;*;1;;8417,77660154
01/01/2020 00:00:00;06/01/2020 00:00:00;27/12/2019 00:00:00;*;*;2020;;01/01/2020 00:00:00;AMAZONAS;Norte;*;*;1;;8656,67619143
01/01/2019 00:00:00;06/01/2019 00:00:00;27/12/2018 00:00:00;*;*;2019;;01/01/2019 00:00:00;AMAZONAS;Norte;*;*;1;;8430,80125082
01/01/2018 00:00:00;06/01/2018 00:00:00;27/12/2017 00:00:00;*;*;2018;;01/01/2018 00:00:00;AMAZONAS;Norte;*;*;1;;7034,48804643
01/01/2017 00:00:00;06/01/2017 00:00:00;27/12/2016 00:00:00;*;*;2017;;01/01/2017 00:00:00;AMAZONAS;Norte;*;*;1;;5612,65647201
01/01/2016 00:00:00;06/01/2016 00:00:00;27/12/2015 00:00:00;*;*;2016;;01/01/2016 00:00:00;AMAZONAS;Norte;*;*;1;;4661,02750775
01/01/2015 00:00:00;06/01/2015 00:00:00;27/12/2014 00:00:00;*;*;2015;;01/01/2015 00:00:00;AMAZONAS;Norte;*;*;1;;6783,60098363
01/01/2014 00:00:00;06/01/2014 00:00:00;27/12/2013 00:00:00;*;*;2014;;01/01/2014 00:00:00;AMAZONAS;Norte;*;*;1;;8215,986812
01/01/2013 00:00:00;06/01/2013 00:00:00;27/12/2012 00:00:00;*;*;2013;;01/01/2013 00:00:00;AMAZONAS;Norte;*;*;1;;4029,43534704
