data;geracao
2018-08-21;27.27257
2018-08-22;27.463373
2018-08-23;27.513564
2018-08-24;27.88322
2018-08-25;27.978427
2018-08-26;27.191649
2018-08-27;27.349454
2018-08-28;25.567277
2018-08-29;23.549468
2018-08-30;27.905258
2018-08-31;27.035202
2018-09-01;27.183592
2018-09-02;27.437932
2018-09-03;27.993612
2018-09-04;28.509623
2018-09-05;29.128651
2018-09-06;28.358155
2018-09-07;24.194252
2018-09-08;20.882627
2018-09-09;23.713312
2018-09-10;21.732366
2018-09-11;20.264609
2018-09-12;20.503194
2018-09-13;24.385373
2018-09-14;24.408681
2018-09-15;22.010224
2018-09-16;17.901629
2018-09-17;20.237196
2018-09-18;19.524606
2018-09-19;18.738415
2018-09-20;19.579606
2018-09-21;19.558671
2018-09-22;28.063038
2018-09-23;27.757175
2018-09-24;28.056325
2018-09-25;28.441948
2018-09-26;28.041473
2018-09-27;27.981282
2018-09-28;27.640149
2018-09-29;28.004961
2018-09-30;27.728802
2018-10-01;27.360897
2018-10-02;27.284484
2018-10-03;27.703421
2018-10-04;23.0852
2018-10-05;22.341155
2018-10-06;27.972051
2018-10-07;28.148652
2018-10-08;27.789429
2018-10-09;27.349315
2018-10-10;27.160042
2018-10-11;27.652172
2018-10-12;25.652477
2018-10-13;26.582354
2018-10-14;24.987063
2018-10-15;22.158729
2018-10-16;20.32106
2018-10-17;24.403795
2018-10-18;18.75872
2018-10-19;16.829069
2018-10-20;18.559082
2018-10-21;20.690126
2018-10-22;17.524847
2018-10-23;15.723789
2018-10-24;19.779649
2018-10-25;20.376212
2018-10-26;20.301484
2018-10-27;21.04424
2018-10-28;22.202215
2018-10-29;21.626732
2018-10-30;21.185447
2018-10-31;21.491031
2018-11-01;21.233893
2018-11-02;21.324807
2018-11-03;21.853273
2018-11-04;21.94190712
2018-11-05;21.4604
2018-11-06;20.910385
2018-11-07;20.546998
2018-11-08;20.767979
2018-11-09;21.388985
2018-11-10;18.613455
2018-11-11;18.227616
2018-11-12;19.638596
2018-11-13;21.437083
2018-11-14;21.24015
2018-11-15;19.744813
2018-11-16;20.222067
2018-11-17;22.559675
2018-11-18;21.754035
2018-11-19;20.959304
2018-11-20;21.132966
2018-11-21;20.288914
2018-11-22;19.956579
2018-11-23;20.341271
2018-11-24;19.831642
2018-11-25;19.757753
2018-11-26;21.661197
2018-11-27;19.376444
2018-11-28;19.445259
2018-11-29;19.190298
2018-11-30;19.339699
2018-12-01;19.263633
2018-12-02;18.694508
2018-12-03;19.486543
2018-12-04;18.790644
2018-12-05;17.980875
2018-12-06;17.394867
2018-12-07;17.415146
2018-12-08;16.963076
2018-12-09;16.332576
2018-12-10;15.708797
2018-12-11;16.934774
2018-12-12;17.113016
2018-12-13;16.684536
2018-12-14;16.250155
2018-12-15;15.690329
2018-12-16;16.132991
2018-12-17;15.902052
2018-12-18;15.828607
2018-12-19;15.789766
2018-12-20;14.875172
2018-12-21;17.045798
2018-12-22;17.772925
2018-12-23;20.58741
2018-12-24;19.041735
2018-12-25;18.548771
