Data Escala de Tempo 1 GE Simp 4;cod_aneel (tb_referenciacegusina (Usina));cod_nucleoaneel (tb_referenciacegusina (Usina));Data Dica;dsc_estado;id_subsistema;nom_tipousinasite;nom_usina2;Período Exibido GE;Selecione Tipo de GE Simp 4
19/12/2019 12:00:00;UTE.GN.SE.032228-8.01;032228-8;19/12/2019 12:00;SERGIPE;Nordeste;Térmica; PORTO DE SERGIPE I;5;0
19/12/2019 13:00:00;UTE.GN.SE.032228-8.01;032228-8;19/12/2019 13:00;SERGIPE;Nordeste;Térmica; PORTO DE SERGIPE I;5;0
19/12/2019 14:00:00;UTE.GN.SE.032228-8.01;032228-8;19/12/2019 14:00;SERGIPE;Nordeste;Térmica; PORTO DE SERGIPE I;5;0
19/12/2019 15:00:00;UTE.GN.SE.032228-8.01;032228-8;19/12/2019 15:00;SERGIPE;Nordeste;Térmica; PORTO DE SERGIPE I;5;0
19/12/2019 16:00:00;UTE.GN.SE.032228-8.01;032228-8;19/12/2019 16:00;SERGIPE;Nordeste;Térmica; PORTO DE SERGIPE I;5;0
19/12/2019 17:00:00;UTE.GN.SE.032228-8.01;032228-8;19/12/2019 17:00;SERGIPE;Nordeste;Térmica; PORTO DE SERGIPE I;5;0
19/12/2019 18:00:00;UTE.GN.SE.032228-8.01;032228-8;19/12/2019 18:00;SERGIPE;Nordeste;Térmica; PORTO DE SERGIPE I;5;0
19/12/2019 19:00:00;UTE.GN.SE.032228-8.01;032228-8;19/12/2019 19:00;SERGIPE;Nordeste;Térmica; PORTO DE SERGIPE I;5;0
19/12/2019 20:00:00;UTE.GN.SE.032228-8.01;032228-8;19/12/2019 20:00;SERGIPE;Nordeste;Térmica; PORTO DE SERGIPE I;5;0
19/12/2019 21:00:00;UTE.GN.SE.032228-8.01;032228-8;19/12/2019 21:00;SERGIPE;Nordeste;Térmica; PORTO DE SERGIPE I;5;0
19/12/2019 22:00:00;UTE.GN.SE.032228-8.01;032228-8;19/12/2019 22:00;SERGIPE;Nordeste;Térmica; PORTO DE SERGIPE I;5;0
19/12/2019 23:00:00;UTE.GN.SE.032228-8.01;032228-8;19/12/2019 23:00;SERGIPE;Nordeste;Térmica; PORTO DE SERGIPE I;5;0
