,data,geracao,media,variancia
1,01/01/18,18.118144,,
2,01/02/18,17.801709,18.118144,0.0
3,01/03/18,17.267649,17.9599265,0.02503277730625032
4,01/04/18,17.303115,17.729167333333333,0.12318810420555615
5,01/05/18,17.672623,17.62265425,0.12642618891768811
6,01/06/18,17.775895,17.632648,0.10154045129040054
7,01/07/18,17.588197,17.656522499999998,0.08746700149325042
8,01/08/18,17.384383,17.646761714285713,0.07554335319220441
9,01/09/18,17.911597,17.613964375000002,0.07363009229273465
10,01/10/18,16.894557,17.64703466666667,0.07419812445422251
11,01/11/18,15.025455,17.5717869,0.11773834950369037
12,01/12/18,16.097915,17.34030218181818,0.6428866107023311
13,13/01/18,16.795031,17.236769916666667,0.7072209556785768
14,14/01/18,16.761614,17.20279,0.6666749605433849
15,15/01/18,16.86601,17.17127742857143,0.6319648685591022
16,16/01/18,16.92725358,17.150926266666666,0.5956322543940623
17,17/01/18,16.93435768,17.13694672375,0.5613366527968172
18,18/01/18,16.93213,17.12502972117647,0.5305890888965222
19,19/01/18,17.103676,17.114313069999998,0.5030643097026086
20,20/01/18,17.223031,17.113753224210527,0.476592882462436
21,21/01/18,16.43521,17.119217112999998,0.4533304658726853
22,22/01/18,16.899951,17.086645345714285,0.45296170131342317
23,23/01/18,17.098331,17.07815923909091,0.43388482718999355
24,24/01/18,16.906668,17.07903627217391,0.4150371916007119
25,25/01/18,17.198575,17.07185426083333,0.39893034488262846
26,26/01/18,16.801573,17.076923090399998,0.38358976388354526
27,27/01/18,17.080008,17.06633270230769,0.37164021942512826
28,28/01/18,16.104901,17.066839194814815,0.3578824367549811
29,29/01/18,15.721604,17.032484259285713,0.37696798422722255
30,30/01/18,16.005248,16.987281491724136,0.42118121368571265
31,31/01/18,16.97355,16.954547041999998,0.4382166216597101
32,02/01/18,17.209951,16.95516004064516,0.4240918746263401
33,02/02/18,17.094323,16.963122258125,0.4128043076673507
34,02/03/18,17.115822,16.96709803818182,0.40080090468881163
35,02/04/18,16.847991,16.97147227235294,0.3896440622974656
36,02/05/18,17.137,16.967944236,0.3789345741805133
37,02/06/18,17.267496,16.972640229444444,0.3691804461916694
38,02/07/18,16.930324,16.980609304324325,0.36148881785447806
39,02/08/18,17.240623,16.979286006842106,0.3520407455271072
40,02/09/18,17.266734,16.985986955384618,0.3447203627763969
41,02/10/18,17.352393,16.993005631500004,0.338023564469081
42,02/11/18,17.377259,17.001771177073174,0.33285247885472163
43,02/12/18,17.383366,17.010711363333336,0.3282044239793936
44,13/02/18,16.788814,17.01937775023256,0.3237262259558733
45,14/02/18,17.404238,17.014137665000003,0.3175495269391159
46,15/02/18,17.349464,17.022806561333336,0.3137994603849886
47,16/02/18,17.064184,17.02990781,0.30924698095347775
48,17/02/18,16.401089,17.0306370906383,0.3026917230659397
49,18/02/18,16.910439,17.017521505416667,0.30447051856024193
50,19/02/18,17.216571,17.015336148163264,0.2984860722515918
51,20/02/18,16.929889,17.0193608452,0.2933100619321975
52,21/02/18,17.113157,17.017606495294118,0.2877127714268659
53,22/02/18,17.54334,17.019444005,0.28235203205269066
54,23/02/18,16.564445,17.029328835094343,0.2821055482531938
55,24/02/18,17.047285,17.020719875185186,0.28080942354171395
56,25/02/18,17.341901,17.02120287745455,0.27571639538351655
57,26/02/18,17.009171,17.026929629642858,0.27259665130754485
58,27/02/18,16.477607,17.026618074736845,0.2678196896379142
59,28/02/18,16.183626,17.017152366551727,0.2683092877744993
60,03/01/18,16.844762,17.003024801016952,0.2753377829879569
61,03/02/18,17.092079,17.00038708766667,0.271159314309535
62,03/03/18,16.949326,17.001890233770492,0.2668496465412895
63,03/04/18,16.609433,17.001042423548387,0.262589465696707
64,03/05/18,16.516724,16.994826400952384,0.26081699302828804
65,03/06/18,16.90902,16.987356050937503,0.26025751366094546
66,03/07/18,16.559905,16.98615088092308,0.2563465077371901
67,03/08/18,16.566116,16.979692610000004,0.2551735718567029
68,03/09/18,16.395822,16.973519824776123,0.2538798273924528
69,03/10/18,16.609704,16.965024268529415,0.2549819904070797
70,03/11/18,16.049394,16.959874699420293,0.2530898274584138
71,03/12/18,16.393424,16.946867832285715,0.2611475813880211
72,13/03/18,16.604223,16.939072848732398,0.2617227702406509
73,14/03/18,16.368982,16.93442215638889,0.259623386453536
74,15/03/18,16.755334,16.926676400821922,0.26038666621743206
75,16/03/18,16.723613,16.924360962972976,0.25725929891232396
76,17/03/18,16.945016,16.92168432346667,0.25435934045628356
77,18/03/18,16.269927,16.92199131921053,0.2510195755082333
78,19/03/18,16.573295,16.913522951428575,0.2532097882407877
79,20/03/18,16.599606,16.909161054615385,0.2514285219776518
80,21/03/18,14.785902,16.905242636202534,0.2494434946818858
81,22/03/18,15.626558,16.878750878250003,0.3017686969121886
82,23/03/18,16.583664,16.863291706913582,0.3171620357168396
83,24/03/18,16.739621,16.85988161292683,0.3142361340338521
84,25/03/18,16.756521,16.858432689879518,0.3106223055111284
85,26/03/18,16.589447,16.85721945547619,0.30704659175225585
86,27/03/18,16.315827,16.85406919129412,0.30426790871912707
87,28/03/18,16.378618,16.84781056116279,0.3040593981257967
88,29/03/18,16.34144,16.842417543218392,0.3030657417743365
89,30/03/18,16.548542,16.83672461659091,0.3024414318725097
90,31/03/18,16.654481,16.83348660966292,0.29996586615704485
91,04/01/18,16.34367,16.831497658444444,0.2969849895871372
92,04/02/18,16.456493,16.826136914945053,0.29630779965095483
93,04/03/18,16.270401,16.822119046304348,0.29455610012389927
94,04/04/18,16.141199,16.816186594193546,0.2946266771304113
