;ds;pred;actual
1096;2021-01-01;27.34037407409908;22.876548
1097;2021-01-02;26.659581030464594;24.64027
1098;2021-01-03;25.769286061434407;21.461506
1099;2021-01-04;26.836171069200272;23.42042
1100;2021-01-05;26.90964482832091;24.242198
1101;2021-01-06;26.931893675002783;24.26029
1102;2021-01-07;26.97179120544426;24.438743
1103;2021-01-08;27.10217456693712;24.468529
1104;2021-01-09;26.289372980686018;22.918686
1105;2021-01-10;25.277118474928873;21.40107
1106;2021-01-11;26.228639905415093;23.188436
1107;2021-01-12;26.195390110553454;24.41881
1108;2021-01-13;26.121419571803536;24.584808
1109;2021-01-14;26.07724952343963;24.128374
1110;2021-01-15;26.137115774036808;22.547007
1111;2021-01-16;25.26846957109496;22.821112
1112;2021-01-17;24.21586608867179;23.467538
1113;2021-01-18;25.143042111124338;23.886394
1114;2021-01-19;25.101633139149833;23.916666
1115;2021-01-20;25.03554354074731;22.455709
1116;2021-01-21;25.014822809527328;22.101859
1117;2021-01-22;25.112919173154783;24.064171
1118;2021-01-23;24.296196724766403;24.344743
1119;2021-01-24;23.307846361532967;23.330523
1120;2021-01-25;24.309991675609023;24.001792
1121;2021-01-26;24.352439471539018;23.362297
1122;2021-01-27;24.37708786709005;22.528331
1123;2021-01-28;24.451844274047787;22.316018
1124;2021-01-29;24.647923651404636;21.606677
1125;2021-01-30;23.92941228646371;20.137513
1126;2021-01-31;23.03722642322094;22.103055
1127;2021-02-01;24.131265891254866;24.910229
1128;2021-02-02;24.259211411421497;24.14827
1129;2021-02-03;24.360977553044023;23.173112
1130;2021-02-04;24.502672693810123;25.66613
1131;2021-02-05;24.753935486879065;26.333276
1132;2021-02-06;24.077532279732697;23.375564
1133;2021-02-07;23.213344087635853;21.869725
1134;2021-02-08;24.320542669093605;23.66705
1135;2021-02-09;24.446403897248196;24.703644
1136;2021-02-10;24.530770054391382;25.279392
1137;2021-02-11;24.640012195277905;25.976613
1138;2021-02-12;24.84436202527821;24.956882
1139;2021-02-13;24.10749782769801;21.232069
1140;2021-02-14;23.170513279364332;18.680598
1141;2021-02-15;24.19406907955039;21.060376
1142;2021-02-16;24.227176097058805;21.526862
1143;2021-02-17;24.21162229565715;23.640704
1144;2021-02-18;24.21589532492958;26.587846
1145;2021-02-19;24.312471056302748;27.336431
1146;2021-02-20;23.467353506332177;22.088495
1147;2021-02-21;22.423995948836577;21.583705
1148;2021-02-22;23.345404136928817;25.81373
1149;2021-02-23;23.28287134818905;26.765301
1150;2021-02-24;23.18035851212883;26.786506
1151;2021-02-25;23.108372275305896;24.367097
1152;2021-02-26;23.141212200878226;23.835158
1153;2021-02-27;22.24647339118406;24.033021
1154;2021-02-28;21.16893509307403;21.644375
1155;2021-03-01;22.072636861413304;23.928258
1156;2021-03-02;22.009592531086465;24.082691
1157;2021-03-03;21.924155665883575;22.846515
1158;2021-03-04;21.886889613308995;23.090688
1159;2021-03-05;21.97181349514701;24.137037
1160;2021-03-06;21.14591041326669;22.420092
1161;2021-03-07;20.1530282803976;21.813698
1162;2021-03-08;21.155974564647686;24.057632
1163;2021-03-09;21.205254782089654;22.800505
1164;2021-03-10;21.243467870402085;22.552554
1165;2021-03-11;21.339210930009145;22.650977
1166;2021-03-12;21.564363927376156;24.610789
1167;2021-03-13;20.883639828489247;23.385074
1168;2021-03-14;20.038529702048752;22.283641
1169;2021-03-15;21.189443171217054;25.520534
1170;2021-03-16;21.384493117651274;26.367289
1171;2021-03-17;21.563936839205;26.320802
1172;2021-03-18;21.79412523433837;23.570869
1173;2021-03-19;22.14482973130204;24.86559
1174;2021-03-20;21.578831607893232;24.385729
1175;2021-03-21;20.83590248963194;21.788135
1176;2021-03-22;22.074975738460736;25.289817
1177;2021-03-23;22.342957066496137;25.577923
1178;2021-03-24;22.579186114532774;24.198052
1179;2021-03-25;22.849400222430763;25.690906
1180;2021-03-26;23.22306988422372;26.77906
1181;2021-03-27;22.662990432333128;25.573357
1182;2021-03-28;21.909258761194987;22.859116
1183;2021-03-29;23.12143494642879;26.085947
1184;2021-03-30;23.347337354984347;24.42221
1185;2021-03-31;23.52748335675834;23.172344
1186;2021-04-01;23.7290273363471;24.904785
1187;2021-04-02;24.023066059219026;23.391967
1188;2021-04-03;23.374196575502662;23.425123
1189;2021-04-04;22.524456174039067;23.39971
1190;2021-04-05;23.635444993994096;26.973379
1191;2021-04-06;23.75708067397451;26.797877
1192;2021-04-07;23.831997951155913;27.248485
1193;2021-04-08;23.92944571282063;27.235706
1194;2021-04-09;24.122552344554006;21.803793
1195;2021-04-10;23.37784531934158;20.761694
1196;2021-04-11;22.43915525855858;20.123899
1197;2021-04-12;23.4697057343208;21.2443
