;y_pred;lower;upper;geracao
2021-04-15;20.538;20.4019;20.7529;21.364868
2021-04-16;20.6587;20.3494;20.6587;20.581133
2021-04-17;19.982;19.638;19.9235;20.145404
2021-04-18;19.1481;19.0894;19.3584;17.46739
2021-04-19;20.0443;19.8773;20.2818;21.261752
2021-04-20;20.0933;20.0307;20.3897;22.617271
2021-04-21;20.1222;19.8576;20.1881;21.192697
2021-04-22;20.1911;19.9439;20.2971;20.567382
2021-04-23;20.3565;20.0926;20.4371;20.506039
2021-04-24;19.7325;19.4466;19.8359;18.820461
2021-04-25;18.9577;18.7049;19.103;18.355305
2021-04-26;19.9182;19.8407;20.1662;21.82629
2021-04-27;20.0351;19.7646;20.1041;22.944148
2021-04-28;20.1341;20.0022;20.3373;23.961859
2021-04-29;20.2734;20.1155;20.4162;20.559234
2021-04-30;20.5084;20.3084;20.6835;24.23467
2021-05-01;19.9513;19.92;20.3019;19.950997
2021-05-02;19.2394;19.3519;19.7316;21.007086
2021-05-03;20.2573;20.0416;20.444;23.364333
2021-05-04;20.4249;20.4407;20.8279;22.913229
2021-05-05;20.5669;20.4311;20.7606;23.85542
2021-05-06;20.7405;20.6025;20.8834;24.881838
2021-05-07;21.0003;21.0274;21.2922;25.1714
2021-05-08;20.458;20.2993;20.6557;20.263204
2021-05-09;19.7507;19.7022;19.958;19.182708
2021-05-10;20.7628;20.616;20.9926;21.323935
2021-05-11;20.9143;20.8797;21.1996;21.295823
2021-05-12;21.0302;20.7508;21.0558;20.215235
2021-05-13;21.1685;20.9042;21.2425;21.009405
2021-05-14;21.3844;21.3234;21.6362;21.480271
2021-05-15;20.7906;20.5566;20.9028;19.805673
2021-05-16;20.0254;19.7088;20.08;18.088276
2021-05-17;20.9744;20.7498;21.1569;20.008076
2021-05-18;21.0592;20.8915;21.2737;21.711468
2021-05-19;21.1061;20.7268;21.0566;21.528842
2021-05-20;21.1748;21.0193;21.3761;25.085692
2021-05-21;21.322;21.0672;21.4152;25.124596
2021-05-22;20.6622;20.4917;20.7986;24.794134
2021-05-23;19.835;19.5972;19.9805;20.487876
2021-05-24;20.7278;20.7113;21.0302;24.532939
2021-05-25;20.7633;20.5913;20.9051;24.583325
2021-05-26;20.7694;20.8449;21.1912;24.725825
2021-05-27;20.8067;20.7081;21.1251;24.752843
2021-05-28;20.933;20.9355;21.312;25.027724
2021-05-29;20.2633;20.2876;20.5905;25.150822
2021-05-30;19.4378;19.1986;19.5005;23.331644
2021-05-31;20.3443;20.0511;20.4084;24.36052
2021-06-01;20.4054;20.0375;20.409;22.408397
2021-06-02;20.4487;20.2247;20.5552;24.490846
2021-06-03;20.5343;20.507;20.8252;25.384644
2021-06-04;20.7194;20.7046;20.9968;26.283818
2021-06-05;20.118;19.7493;20.028;25.23669
2021-06-06;19.3691;19.2112;19.529;25.999123
2021-06-07;20.3591;20.1049;20.4656;25.739112
2021-06-08;20.509;20.2745;20.6472;26.145476
2021-06-09;20.6447;20.4357;20.7927;26.056331
2021-06-10;20.8246;20.7878;21.1203;26.089686
2021-06-11;21.1039;20.6868;21.0432;26.111743
2021-06-12;20.5947;20.2844;20.603;25.020766
2021-06-13;19.934;19.7877;20.0583;24.217967
2021-06-14;21.0063;20.7821;21.1483;24.019264
2021-06-15;21.2309;21.0774;21.474;25.13234
2021-06-16;21.4321;21.2009;21.545;25.068985
2021-06-17;21.6665;21.433;21.7858;25.720228
2021-06-18;21.988;21.9124;22.2114;26.070853
2021-06-19;21.5075;21.2291;21.4815;24.158062
2021-06-20;20.8615;20.6638;20.9701;23.57286
2021-06-21;21.9336;21.8069;22.2247;25.317842
2021-06-22;22.1427;21.9304;22.2726;23.59825
2021-06-23;22.3132;22.153;22.5381;26.261064
2021-06-24;22.5022;22.3316;22.6168;21.873045
2021-06-25;22.7639;22.727;23.1206;24.587697
2021-06-26;22.2104;21.9034;22.2035;28.368907
2021-06-27;21.4791;21.1111;21.4977;26.465526
2021-06-28;22.4552;22.3676;22.7011;28.896851
2021-06-29;22.5596;22.1758;22.5602;28.758995
2021-06-30;22.6183;22.4768;22.8252;28.965368
2021-07-01;22.6905;22.5695;22.9741;28.977685
2021-07-02;22.833;22.5854;22.9523;28.329011
2021-07-03;22.1601;21.9783;22.3603;26.191957
2021-07-04;21.3117;20.9343;21.3691;25.185521
2021-07-05;22.1754;22.1711;22.4957;27.976678
2021-07-06;22.1743;22.0227;22.3582;29.912472
2021-07-07;22.1371;22.1137;22.427;28.717168
2021-07-08;22.125;21.9335;22.2442;28.62163
2021-07-09;22.1967;21.9917;22.3226;28.762049
2021-07-10;21.4682;21.3945;21.6837;28.729092
2021-07-11;20.5811;20.3903;20.8256;28.876909
2021-07-12;21.4241;21.0468;21.4451;28.817467
2021-07-13;21.4212;21.1963;21.5152;29.328019
2021-07-14;21.4014;21.2904;21.6366;28.67397
2021-07-15;21.4262;21.4283;21.7563;28.940171
2021-07-16;21.554;21.4287;21.7853;28.986744
2021-07-17;20.9003;20.8469;21.1966;30.556245
2021-07-18;20.1054;19.9795;20.3452;29.431022
2021-07-19;21.0567;20.7592;21.0637;28.918519
2021-07-20;21.1767;21.0789;21.4847;28.91049
2021-07-21;21.2923;21.0074;21.4855;28.647296
2021-07-22;21.4625;21.3564;21.6452;28.774096
2021-07-23;21.7434;21.604;21.9535;29.023534
2021-07-24;21.2476;21.0089;21.3254;21.892259
2021-07-25;20.6126;20.5952;20.9088;24.650554
2021-07-26;21.7229;21.5743;21.8861;28.739505
2021-07-27;21.998;21.7002;22.0453;29.003129
2021-07-28;22.2617;22.1568;22.4899;28.779091
2021-07-29;22.5704;22.4725;22.8587;28.217164
2021-07-30;22.9773;22.823;23.1706;28.494226
2021-07-31;22.5926;22.4603;22.9057;28.408902
2021-08-01;22.0515;21.9142;22.2478;28.517708
2021-08-02;23.2366;22.9841;23.3649;28.68518
2021-08-03;23.5656;23.4277;23.7679;30.593401
2021-08-04;23.8612;23.6312;24.0203;30.331454
2021-08-05;24.179;24.2751;24.6741;30.364641
2021-08-06;24.5715;24.5458;24.8359;29.783028
2021-08-07;24.1491;24.0389;24.4365;29.567201
2021-08-08;23.5475;23.236;23.6084;28.639141
2021-08-09;24.65;24.6471;24.9589;29.683208
2021-08-10;24.8757;24.6605;24.9806;30.150066
2021-08-11;25.0489;24.8816;25.2697;30.41494
2021-08-12;25.2272;25.212;25.524;30.420651
2021-08-13;25.4657;25.0906;25.402;30.736477
2021-08-14;24.8772;24.5272;24.8008;29.821013
2021-08-15;24.1004;23.8394;24.249;29.222712
2021-08-16;25.0217;24.9075;25.2272;29.33922
2021-08-17;25.0633;24.9666;25.2657;30.027497
2021-08-18;25.0529;24.8749;25.1868;29.934656
2021-08-19;25.0512;24.8561;25.2405;30.303495
2021-08-20;25.1166;25.1673;25.5277;30.243234
2021-08-21;24.3649;24.2746;24.6159;23.847657
2021-08-22;23.4378;23.1936;23.5082;24.696551
2021-08-23;24.2242;24.1056;24.5614;27.118468
2021-08-24;24.1487;24.0007;24.3316;27.136133
2021-08-25;24.0411;23.6332;23.9925;26.731849
2021-08-26;23.9638;23.5527;23.9257;26.666377
2021-08-27;23.9764;23.9319;24.2679;26.617743
2021-08-28;23.1956;22.9897;23.4109;27.134267
2021-08-29;22.2634;22.138;22.4569;26.499983
2021-08-30;23.0688;22.9959;23.3595;28.126376
2021-08-31;23.0359;22.7963;23.1508;28.325913
2021-09-01;22.9935;22.8071;23.1255;28.180737
2021-09-02;23.0028;22.8611;23.2383;28.252073
2021-09-03;23.1216;23.1676;23.443;28.069572
2021-09-04;22.4647;22.3335;22.6547;27.456967
2021-09-05;21.6715;21.5438;21.8882;26.448312
2021-09-06;22.6285;22.3331;22.6994;26.966746
2021-09-07;22.757;22.5391;22.8972;27.015706
2021-09-08;22.8828;22.7194;23.0036;27.434482
2021-09-09;23.0638;22.9896;23.306;26.772105
2021-09-10;23.3549;23.1602;23.5112;26.721372
2021-09-11;22.8675;22.822;23.2012;27.037379
2021-09-12;22.2382;22.2021;22.563;24.493372
2021-09-13;23.3504;23.1914;23.4831;27.0194
2021-09-14;23.6227;23.4371;23.7393;26.694318
2021-09-15;23.8783;23.7796;24.1157;27.136761
2021-09-16;24.173;24.1045;24.5121;28.041323
2021-09-17;24.5596;24.5321;24.8277;28.107548
2021-09-18;24.1481;23.933;24.3071;23.841031
2021-09-19;23.5736;23.34;23.7228;23.276179
2021-09-20;24.719;24.7616;25.0417;23.572144
2021-09-21;25.0023;24.8299;25.1749;25.554118
2021-09-22;25.2466;25.0255;25.3618;27.361304
2021-09-23;25.5082;25.2251;25.6648;27.187713
2021-09-24;25.8405;25.7419;26.1073;25.074927
2021-09-25;25.3547;25.2411;25.5462;25.685208
2021-09-26;24.6875;24.4958;24.8577;24.285812
