;ds;y
199;2018-07-19;23.920421
200;2018-07-20;23.612266
201;2018-07-21;21.178405
202;2018-07-22;14.525081
203;2018-07-23;14.417553
204;2018-07-24;16.85976
205;2018-07-25;14.781325
206;2018-07-26;17.223395
207;2018-07-27;20.116225
208;2018-07-28;19.714768
209;2018-07-29;18.522242
210;2018-07-30;19.858943
211;2018-07-31;28.462929
212;2018-08-01;28.384257
213;2018-08-02;28.94163
214;2018-08-03;27.531267
215;2018-08-04;27.679697
216;2018-08-05;26.645269
217;2018-08-06;25.979909
218;2018-08-07;27.810437
219;2018-08-08;28.282886
220;2018-08-09;28.371568
221;2018-08-10;19.367329
222;2018-08-11;14.820208
223;2018-08-12;20.156841
224;2018-08-13;28.505605
225;2018-08-14;28.456461
226;2018-08-15;28.508394
227;2018-08-16;28.436765
228;2018-08-17;28.412706
229;2018-08-18;28.631777
230;2018-08-19;27.315548
231;2018-08-20;27.857852
232;2018-08-21;27.27257
233;2018-08-22;27.463373
234;2018-08-23;27.513564
235;2018-08-24;27.88322
236;2018-08-25;27.978427
237;2018-08-26;27.191649
238;2018-08-27;27.349454
239;2018-08-28;25.567277
240;2018-08-29;23.549468
241;2018-08-30;27.905258
242;2018-08-31;27.035202
243;2018-09-01;27.183592
244;2018-09-02;27.437932
245;2018-09-03;27.993612
246;2018-09-04;28.509623
247;2018-09-05;29.128651
248;2018-09-06;28.358155
249;2018-09-07;24.194252
250;2018-09-08;20.882627
251;2018-09-09;23.713312
252;2018-09-10;21.732366
253;2018-09-11;20.264609
254;2018-09-12;20.503194
255;2018-09-13;24.385373
256;2018-09-14;24.408681
257;2018-09-15;22.010224
258;2018-09-16;17.901629
259;2018-09-17;20.237196
260;2018-09-18;19.524606
261;2018-09-19;18.738415
262;2018-09-20;19.579606
263;2018-09-21;19.558671
264;2018-09-22;28.063038
265;2018-09-23;27.757175
266;2018-09-24;28.056325
267;2018-09-25;28.441948
268;2018-09-26;28.041473
269;2018-09-27;27.981282
270;2018-09-28;27.640149
271;2018-09-29;28.004961
272;2018-09-30;27.728802
273;2018-10-01;27.360897
274;2018-10-02;27.284484
275;2018-10-03;27.703421
276;2018-10-04;23.0852
277;2018-10-05;22.341155
278;2018-10-06;27.972051
279;2018-10-07;28.148652
280;2018-10-08;27.789429
281;2018-10-09;27.349315
282;2018-10-10;27.160042
283;2018-10-11;27.652172
284;2018-10-12;25.652477
285;2018-10-13;26.582354
286;2018-10-14;24.987063
287;2018-10-15;22.158729
288;2018-10-16;20.32106
289;2018-10-17;24.403795
290;2018-10-18;18.75872
291;2018-10-19;16.829069
292;2018-10-20;18.559082
293;2018-10-21;20.690126
294;2018-10-22;17.524847
295;2018-10-23;15.723789
296;2018-10-24;19.779649
297;2018-10-25;20.376212
298;2018-10-26;20.301484
299;2018-10-27;21.04424
300;2018-10-28;22.202215
301;2018-10-29;21.626732
302;2018-10-30;21.185447
303;2018-10-31;21.491031
304;2018-11-01;21.233893
305;2018-11-02;21.324807
306;2018-11-03;21.853273
307;2018-11-04;21.94190712
308;2018-11-05;21.4604
309;2018-11-06;20.910385
310;2018-11-07;20.546998
311;2018-11-08;20.767979
312;2018-11-09;21.388985
313;2018-11-10;18.613455
314;2018-11-11;18.227616
315;2018-11-12;19.638596
316;2018-11-13;21.437083
317;2018-11-14;21.24015
318;2018-11-15;19.744813
319;2018-11-16;20.222067
320;2018-11-17;22.559675
321;2018-11-18;21.754035
322;2018-11-19;20.959304
323;2018-11-20;21.132966
324;2018-11-21;20.288914
325;2018-11-22;19.956579
326;2018-11-23;20.341271
327;2018-11-24;19.831642
328;2018-11-25;19.757753
329;2018-11-26;21.661197
330;2018-11-27;19.376444
331;2018-11-28;19.445259
332;2018-11-29;19.190298
333;2018-11-30;19.339699
334;2018-12-01;19.263633
335;2018-12-02;18.694508
336;2018-12-03;19.486543
337;2018-12-04;18.790644
338;2018-12-05;17.980875
339;2018-12-06;17.394867
340;2018-12-07;17.415146
341;2018-12-08;16.963076
342;2018-12-09;16.332576
343;2018-12-10;15.708797
344;2018-12-11;16.934774
345;2018-12-12;17.113016
346;2018-12-13;16.684536
347;2018-12-14;16.250155
348;2018-12-15;15.690329
349;2018-12-16;16.132991
350;2018-12-17;15.902052
351;2018-12-18;15.828607
352;2018-12-19;15.789766
353;2018-12-20;14.875172
354;2018-12-21;17.045798
355;2018-12-22;17.772925
356;2018-12-23;20.58741
357;2018-12-24;19.041735
358;2018-12-25;18.548771
359;2018-12-26;19.027259
360;2018-12-27;19.422334
361;2018-12-28;25.190274
362;2018-12-29;25.82193
363;2018-12-30;26.1119
364;2018-12-31;26.374412
365;2019-01-01;20.472262
366;2019-01-02;20.340721
367;2019-01-03;20.509875
368;2019-01-04;20.188164
369;2019-01-05;25.425368
370;2019-01-06;25.853889
371;2019-01-07;28.891043
372;2019-01-08;26.178637
373;2019-01-09;26.541999
374;2019-01-10;25.385797
375;2019-01-11;27.159139
376;2019-01-12;19.475141
377;2019-01-13;19.019723
378;2019-01-14;18.945952
379;2019-01-15;19.761093
380;2019-01-16;19.969277
381;2019-01-17;20.164578
382;2019-01-18;19.878526
383;2019-01-19;19.604495
384;2019-01-20;18.63718
385;2019-01-21;20.553271
386;2019-01-22;19.301255
387;2019-01-23;19.456175
388;2019-01-24;19.179602
389;2019-01-25;19.414618
390;2019-01-26;19.649466
391;2019-01-27;18.684393
392;2019-01-28;19.94651
393;2019-01-29;20.622481
394;2019-01-30;19.6765
395;2019-01-31;19.482467
396;2019-02-01;19.708209
397;2019-02-02;19.561033
398;2019-02-03;19.494101
399;2019-02-04;20.968032
400;2019-02-05;23.202187
401;2019-02-06;19.996187
402;2019-02-07;18.917204
403;2019-02-08;20.010663
404;2019-02-09;19.648617
405;2019-02-10;19.474006
406;2019-02-11;19.612974
407;2019-02-12;18.310423
408;2019-02-13;19.514423
409;2019-02-14;19.143261
410;2019-02-15;20.150782
411;2019-02-16;19.928861
412;2019-02-17;19.9025
413;2019-02-18;20.130133
414;2019-02-19;19.30279
415;2019-02-20;19.869287
416;2019-02-21;20.293867
417;2019-02-22;19.857044
418;2019-02-23;19.473362
419;2019-02-24;20.011199
420;2019-02-25;20.067627
421;2019-02-26;20.064582
422;2019-02-27;20.230484
423;2019-02-28;20.226657
424;2019-03-01;19.953208
425;2019-03-02;19.647234
426;2019-03-03;19.984173
427;2019-03-04;20.022354
428;2019-03-05;20.042468
429;2019-03-06;19.983128
430;2019-03-07;20.211118
431;2019-03-08;20.252092
432;2019-03-09;19.415632
433;2019-03-10;19.688338
434;2019-03-11;19.755343
435;2019-03-12;19.69277
436;2019-03-13;20.004815
437;2019-03-14;20.402046
438;2019-03-15;20.220641
439;2019-03-16;19.63398
440;2019-03-17;19.927306
441;2019-03-18;20.600568
442;2019-03-19;19.104647
443;2019-03-20;20.705547
444;2019-03-21;20.429754
445;2019-03-22;19.972008
446;2019-03-23;20.093235
447;2019-03-24;19.669461
448;2019-03-25;19.657786
449;2019-03-26;20.319161
450;2019-03-27;20.542486
451;2019-03-28;20.867347
452;2019-03-29;20.357514
453;2019-03-30;19.982937
454;2019-03-31;20.001069
455;2019-04-01;20.199844
456;2019-04-02;20.347311
457;2019-04-03;19.104219
458;2019-04-04;20.231865
459;2019-04-05;20.507361
460;2019-04-06;20.813639
461;2019-04-07;20.269869
462;2019-04-08;20.20242
463;2019-04-09;21.955244
464;2019-04-10;20.266535
465;2019-04-11;20.492154
466;2019-04-12;20.367593
467;2019-04-13;20.180531
468;2019-04-14;20.864748
469;2019-04-15;20.112385
470;2019-04-16;20.081213
471;2019-04-17;20.13478
472;2019-04-18;20.460807
473;2019-04-19;19.938873
474;2019-04-20;17.905317
475;2019-04-21;19.781721
476;2019-04-22;20.007795
477;2019-04-23;19.931881
478;2019-04-24;20.240751
479;2019-04-25;20.539625
480;2019-04-26;20.106815
481;2019-04-27;18.132285
482;2019-04-28;18.462119
483;2019-04-29;19.077779
484;2019-04-30;19.999071
485;2019-05-01;20.185373
486;2019-05-02;20.369013
487;2019-05-03;20.469339
488;2019-05-04;19.512998
489;2019-05-05;19.782228
490;2019-05-06;20.421205
491;2019-05-07;21.102816
492;2019-05-08;20.584814
493;2019-05-09;20.912801
494;2019-05-10;20.527875
495;2019-05-11;19.323935
496;2019-05-12;19.812888
497;2019-05-13;20.452955
498;2019-05-14;20.650861
499;2019-05-15;20.02449
500;2019-05-16;20.348257
501;2019-05-17;20.147794
502;2019-05-18;19.699048
503;2019-05-19;18.581808
504;2019-05-20;19.467427
505;2019-05-21;19.86175
506;2019-05-22;19.752886
507;2019-05-23;19.688003
508;2019-05-24;19.558907
509;2019-05-25;19.262407
510;2019-05-26;19.264142
511;2019-05-27;21.768643
512;2019-05-28;20.014
513;2019-05-29;20.18917
514;2019-05-30;19.718861
515;2019-05-31;19.400419
516;2019-06-01;19.345511
517;2019-06-02;19.292669
518;2019-06-03;20.06834
519;2019-06-04;20.579418
520;2019-06-05;19.573544
521;2019-06-06;19.831005
522;2019-06-07;20.354155
523;2019-06-08;20.101837
524;2019-06-09;18.371495
525;2019-06-10;20.211063
526;2019-06-11;20.422515
527;2019-06-12;19.9361
528;2019-06-13;20.274312
529;2019-06-14;21.745527
530;2019-06-15;20.806016
531;2019-06-16;19.685235
532;2019-06-17;21.424464
533;2019-06-18;21.486822
534;2019-06-19;22.232968
535;2019-06-20;20.642232
536;2019-06-21;20.514958
537;2019-06-22;21.423021
538;2019-06-23;18.356469
539;2019-06-24;25.263693
540;2019-06-25;25.028653
541;2019-06-26;25.467245
542;2019-06-27;24.780598
543;2019-06-28;24.303976
544;2019-06-29;24.530587
545;2019-06-30;17.092174
546;2019-07-01;21.146089
547;2019-07-02;25.685446
548;2019-07-03;27.617626
549;2019-07-04;27.774042
550;2019-07-05;27.417811
551;2019-07-06;21.3371
552;2019-07-07;21.234889
553;2019-07-08;23.26764
554;2019-07-09;25.072692
555;2019-07-10;20.969665
556;2019-07-11;22.16353
557;2019-07-12;24.999098
558;2019-07-13;19.695824
559;2019-07-14;19.863353
560;2019-07-15;25.719748
561;2019-07-16;27.313668
562;2019-07-17;26.888408
563;2019-07-18;23.408282
564;2019-07-19;23.109781
565;2019-07-20;21.261432
566;2019-07-21;22.875462
567;2019-07-22;20.976071
568;2019-07-23;18.764586
569;2019-07-24;23.995854
570;2019-07-25;24.930833
571;2019-07-26;22.241488
572;2019-07-27;22.286422
573;2019-07-28;23.443281
574;2019-07-29;25.437209
575;2019-07-30;27.28878
576;2019-07-31;23.635689
577;2019-08-01;23.001705
578;2019-08-02;25.474764
579;2019-08-03;24.664564
