;ds;y;pred
7;2021-01-08;24.468529;24.524368286132812
8;2021-01-09;22.918686;23.749324798583984
9;2021-01-10;21.40107;22.12836456298828
10;2021-01-11;23.188436;22.9155216217041
11;2021-01-12;24.41881;23.538841247558594
12;2021-01-13;24.584808;24.330429077148438
13;2021-01-14;24.128374;24.474639892578125
14;2021-01-15;22.547007;24.24606704711914
15;2021-01-16;22.821112;22.129863739013672
16;2021-01-17;23.467538;22.130619049072266
17;2021-01-18;23.886394;24.242408752441406
18;2021-01-19;23.916666;23.77109718322754
19;2021-01-20;22.455709;23.975582122802734
20;2021-01-21;22.101859;22.77776336669922
21;2021-01-22;24.064171;22.620136260986328
22;2021-01-23;24.344743;23.268461227416992
23;2021-01-24;23.330523;22.99772071838379
24;2021-01-25;24.001792;23.997940063476562
25;2021-01-26;23.362297;23.778606414794922
26;2021-01-27;22.528331;23.184133529663086
27;2021-01-28;22.316018;22.689987182617188
28;2021-01-29;21.606677;22.77164077758789
29;2021-01-30;20.137513;21.323450088500977
30;2021-01-31;22.103055;19.873035430908203
31;2021-02-01;24.910229;23.085243225097656
32;2021-02-02;24.14827;23.985689163208008
33;2021-02-03;23.173112;23.376068115234375
34;2021-02-04;25.66613;22.91940689086914
35;2021-02-05;26.333276;24.865283966064453
36;2021-02-06;23.375564;24.204627990722656
37;2021-02-07;21.869725;22.03885269165039
38;2021-02-08;23.66705;23.051136016845703
39;2021-02-09;24.703644;23.402036666870117
40;2021-02-10;25.279392;24.04452896118164
41;2021-02-11;25.976613;24.711883544921875
42;2021-02-12;24.956882;25.29778480529785
43;2021-02-13;21.232069;23.429698944091797
44;2021-02-14;18.680598;20.408435821533203
45;2021-02-15;21.060376;20.52072525024414
46;2021-02-16;21.526862;20.784936904907227
47;2021-02-17;23.640704;21.327072143554688
48;2021-02-18;26.587846;23.33983612060547
49;2021-02-19;27.336431;25.30585479736328
50;2021-02-20;22.088495;24.62404441833496
51;2021-02-21;21.583705;20.442398071289062
52;2021-02-22;25.81373;22.522979736328125
53;2021-02-23;26.765301;24.677345275878906
54;2021-02-24;26.786506;25.339458465576172
55;2021-02-25;24.367097;25.87512969970703
56;2021-02-26;23.835158;24.075157165527344
57;2021-02-27;24.033021;22.742950439453125
58;2021-02-28;21.644375;22.590091705322266
59;2021-03-01;23.928258;22.629085540771484
60;2021-03-02;24.082691;23.890024185180664
61;2021-03-03;22.846515;23.652193069458008
62;2021-03-04;23.090688;22.66861343383789
63;2021-03-05;24.137037;23.075366973876953
64;2021-03-06;22.420092;22.885587692260742
65;2021-03-07;21.813698;21.110477447509766
66;2021-03-08;24.057632;22.723373413085938
67;2021-03-09;22.800505;23.52734375
68;2021-03-10;22.552554;22.37847900390625
69;2021-03-11;22.650977;22.580181121826172
70;2021-03-12;24.610789;22.691852569580078
71;2021-03-13;23.385074;23.22810173034668
72;2021-03-14;22.283641;21.86761474609375
73;2021-03-15;25.520534;23.077865600585938
74;2021-03-16;26.367289;24.693679809570312
75;2021-03-17;26.320802;25.10135269165039
76;2021-03-18;23.570869;25.365873336791992
77;2021-03-19;24.86559;23.561279296875
78;2021-03-20;24.385729;23.938518524169922
79;2021-03-21;21.788135;22.967605590820312
80;2021-03-22;25.289817;23.005401611328125
81;2021-03-23;25.577923;25.179378509521484
82;2021-03-24;24.198052;24.884876251220703
83;2021-03-25;25.690906;23.93717384338379
84;2021-03-26;26.77906;25.454914093017578
85;2021-03-27;25.573357;25.104150772094727
86;2021-03-28;22.859116;23.865367889404297
87;2021-03-29;26.085947;23.913509368896484
88;2021-03-30;24.42221;25.734718322753906
89;2021-03-31;23.172344;24.015161514282227
90;2021-04-01;24.904785;23.63084602355957
91;2021-04-02;23.391967;24.62002944946289
92;2021-04-03;23.425123;22.612972259521484
93;2021-04-04;23.39971;22.703096389770508
94;2021-04-05;26.973379;24.21971321105957
95;2021-04-06;26.797877;25.97333526611328
96;2021-04-07;27.248485;25.639312744140625
97;2021-04-08;27.235706;26.400833129882812
98;2021-04-09;21.803793;26.349262237548828
99;2021-04-10;20.761694;21.42620849609375
100;2021-04-11;20.123899;21.029151916503906
101;2021-04-12;21.2443;22.007835388183594
102;2021-04-13;21.890969;21.93960189819336
103;2021-04-14;20.609232;22.435436248779297
104;2021-04-15;21.364868;21.232166290283203
105;2021-04-16;20.581133;21.641216278076172
106;2021-04-17;20.145404;19.952171325683594
107;2021-04-18;17.46739;19.460567474365234
108;2021-04-19;21.261752;19.100603103637695
109;2021-04-20;22.617271;21.418363571166992
110;2021-04-21;21.192697;22.300487518310547
111;2021-04-22;20.567382;21.043291091918945
112;2021-04-23;20.506039;20.8745174407959
113;2021-04-24;18.820461;19.853527069091797
114;2021-04-25;18.355305;18.163856506347656
115;2021-04-26;21.82629;19.913841247558594
116;2021-04-27;22.944148;21.698707580566406
117;2021-04-28;23.961859;22.2018985748291
118;2021-04-29;20.559234;23.137056350708008
119;2021-04-30;24.23467;20.57586097717285
120;2021-05-01;19.950997;22.723703384399414
121;2021-05-02;21.007086;18.81052589416504
122;2021-05-03;23.364333;22.286949157714844
123;2021-05-04;22.913229;22.950708389282227
124;2021-05-05;23.85542;22.549297332763672
125;2021-05-06;24.881838;23.443313598632812
